Subj01,Subj02,Subj03,Gen. Average,Remarks,YRGRAD,TE,REGION/PROVINCE/CITY,SEX,# OF TAKES CORREL 1,# OF TAKES CORREL 2,# OF TAKES CORREL 3,GRADE IN CORREL 1,GRADE IN CORREL 2,GRADE IN CORREL 3
74,87,70,76.5,PASSED,722,1,0,1,1,2,1,1,1,3
60,42,44,49,FAILED,323,1,0,1,1,1,1,2.5,1,1
66,89,79,77.45,PASSED,323,1,0,1,1,1,2,2.5,2.5,1
77,86,75,79,PASSED,923,1,1,0,1,2,2,1,1,1
74,82,67,73.95,PASSED,722,2,0,1,1,1,2,1,1,2
77,87,70,77.55,PASSED,323,1,1,0,1,1,2,2.5,3,1
71,80,63,70.9,PASSED,221,2,0,1,1,1,,1,1,
60,83,71,70.75,PASSED,223,1,0,1,3,6,1,1,1,1
69,70,73,70.7,PASSED,323,1,0,1,1,7,1,0.5,1,1
66,59,46,56.9,FAILED,722,1,1,0,1,1,1,1.5,1.5,2
72,22,33,43.35,FAILED,323,1,1,1,1,1,2,1,1,1
57,74,46,58.25,FAILED,120,2,0,0,2,1,2,3,1,0.5
78,89,65,76.75,PASSED,623,1,1,0,1,1,1,2.5,3,1
72,36,50,53.5,FAILED,422,1,1,1,2,2,2,1,1,1
74,89,70,77.1,PASSED,1222,1,0,1,1,1,1,2,3,1
69,50,46,55.25,FAILED,722,2,0,1,1,1,3,3,1,1
57,87,54,64.95,FAILED,818,2,0,1,1,1,,1,1,
70,80,71,73.35,PASSED,323,1,1,0,1,1,2,2.5,2.5,1
74,95,86,84.5,PASSED,323,1,1,1,1,1,1,2,1,1
56,50,50,52.1,FAILED,323,1,1,1,,7,3,,1.5,1
66,62,50,59.2,FAILED,723,1,0,1,2,1,2,1,1,1
78,92,71,79.75,PASSED,1222,1,0,1,1,1,1,2.5,2.5,1
76,92,81,82.55,PASSED,323,1,1,1,1,1,2,2,3,1
64,81,50,64.2,FAILED,723,1,1,1,1,1,2,3,2.5,1
84,89,83,85.15,PASSED,323,1,1,1,1,1,2,1,2,1
70,83,71,74.25,PASSED,422,2,0,0,2,1,2,1,1,1
57,56,39,50.4,FAILED,1021,2,0,1,1,2,1,1,1,1
86,93,92,90.2,PASSED,1222,1,1,1,1,1,1,2,2,1
60,74,59,63.85,FAILED,422,2,1,1,3,1,1,1.5,1,1
74,83,70,75.3,PASSED,721,2,0,0,3,4,1,1,1,1
52,74,59,61.05,FAILED,515,2,1,0,,,,,,
72,71,71,71.35,PASSED,1221,1,1,1,1,1,2,1,1,1
64,45,52,54.1,FAILED,1221,2,1,1,3,2,2,1,1,1
74,78,60,70.3,PASSED,323,1,1,1,1,3,1,1,1,1
80,74,57,70.15,PASSED,1222,1,0,0,1,1,4,1,1,1
72,83,74,76,PASSED,323,1,1,1,1,1,1,3,1,1
70,84,58,70,PASSED,1117,2,1,1,,,,,,
80,93,81,84.25,PASSED,1222,1,1,1,1,1,1,2,3,1
55,53,46,51.25,FAILED,923,1,0,0,2,2,3,1,1,1
72,62,44,59.2,FAILED,1222,1,1,1,1,1,1,1,1,1.5
84,96,87,88.65,PASSED,1222,1,0,1,1,1,1,3,3,2
86,89,91,88.65,PASSED,1222,1,0,1,1,1,1,2.5,2.5,1
64,70,47,59.85,FAILED,422,2,1,0,1,1,2,1,1,1
48,36,44,43,FAILED,323,1,1,1,,7,3,,1,1
55,67,44,54.75,FAILED,323,1,0,1,1,1,1,1,1,1.5
78,94,78,82.8,PASSED,323,1,0,1,1,1,2,1,2,1
66,71,65,67.15,FAILED,323,1,0,1,2,1,2,1,1,1
74,93,81,82.15,PASSED,323,1,1,1,1,2,1,1.5,1,1
64,80,54,65.3,FAILED,421,2,1,0,2,1,2,0.5,1,1
57,80,54,62.82,FAILED,1222,1,0,1,3,6,3,1,1,1
69,53,47,56.5,FAILED,520,2,1,1,3,3,1,1,1.5,1.5
77,86,75,79,PASSED,323,1,1,0,1,1,1,1.5,1,1
57,83,46,60.95,FAILED,722,1,0,0,2,2,4,1,1,1.5
72,50,57,60.15,FAILED,323,1,0,1,1,1,2,3,1,1
84,93,81,85.65,PASSED,1222,1,0,0,1,3,1,3,1,1
62,53,47,54.05,FAILED,118,2,1,1,,,,,,
74,88,71,77.15,PASSED,323,1,0,0,1,1,2,3,3,1
56,77,57,62.65,FAILED,722,2,1,1,1,1,1,1,1,1.5
70,84,58,70,PASSED,1221,1,0,1,2,3,3,1,2.5,1
78,94,73,81.05,PASSED,623,1,0,1,1,1,2,2,1.5,1
70,64,44,59.1,FAILED,1221,2,,,,,,,,
82,89,87,85.85,PASSED,323,1,1,1,1,1,1,2.5,1,1
76,86,71,77.25,PASSED,323,1,0,0,1,1,1,2,1,1
76,89,83,82.35,PASSED,1222,1,1,0,1,1,1,3,2.5,1
60,72,52,60.8,FAILED,520,2,0,0,3,3,,0.5,1.5,
80,87,71,78.95,PASSED,421,1,1,1,1,1,1,1,1,1
74,82,72,75.7,PASSED,723,1,1,1,3,4,1,2.5,1,1
69,83,72,74.25,PASSED,323,1,1,0,2,2,2,1,1,1
62,83,73,72.15,PASSED,1220,2,1,1,2,3,1,1,1,1
60,75,54,62.4,FAILED,323,1,1,1,1,1,1,1.5,1,1
76,81,73,76.45,PASSED,323,1,1,1,1,1,1,1.5,1,1
78,89,78,81.3,PASSED,323,1,0,1,1,1,1,2.5,1,1
71,72,50,63.95,FAILED,922,2,1,0,1,1,1,1,2,1.5
70,87,72,75.8,PASSED,922,2,0,1,3,4,1,1,1.5,1
72,81,65,72.25,PASSED,1222,1,1,0,1,1,1,2,2.5,1
70,75,52,65.2,FAILED,519,2,1,0,2,2,,1,1,
70,84,58,70,PASSED,223,2,0,0,2,2,5,1,1,1
55,31,52,46.75,FAILED,721,2,1,1,3,,3,1,,1
56,42,47,48.65,FAILED,818,2,1,0,2,2,,1,1,
74,87,77,78.95,PASSED,1222,1,1,1,1,1,1,2,3,1
74,86,77,78.65,PASSED,722,2,0,1,1,1,3,1,1.5,1
74,71,47,63.65,FAILED,723,1,0,1,1,1,3,1,1,1
62,62,57,60.25,FAILED,723,1,0,1,1,1,2,1,1,1
72,92,71,77.65,PASSED,323,1,1,0,1,2,1,1,1,1
81,87,71,79.3,PASSED,1222,1,1,1,2,6,1,1,1,1
84,94,86,87.7,PASSED,323,1,0,1,1,1,1,3,1,1
